Wavelength (nm),HL1,HL2,HL3
278,4.029429436,3.597238064,4.424777985
279,4.030763149,3.596517801,4.446020126
280,4.005158424,3.604786396,4.544966221
281,4.029245853,3.593293905,4.398283005
282,4.062270641,3.5882864,4.460208893
283,4.041318417,3.593464613,4.485350609
284,4.071138382,3.630949259,4.549312115
285,4.042267799,3.597216368,4.539264679
286,4.10151577,3.612430811,4.565984726
287,4.042531013,3.595410347,4.650887489
288,4.117420673,3.626246691,4.671214104
289,4.062432766,3.639814377,4.656772614
290,4.078448772,3.657290697,4.689375877
291,4.078641415,3.603328943,4.576739311
292,4.053499222,3.607933283,4.511452675
293,4.045365334,3.601470232,4.480697155
294,4.015958309,3.625238419,4.502941608
295,4.06627512,3.606575251,4.61397171
296,3.996370077,3.615737438,4.733957767
297,3.962460279,3.613390923,4.523882389
298,3.940564871,3.607584715,4.568893909
299,3.949500084,3.633531809,4.65661335
300,3.905063391,3.612527609,4.690930367
301,3.871614933,3.619509935,4.801723957
302,3.881060123,3.635693789,4.663527489
303,3.832732916,3.607786179,4.610509396
304,3.837022066,3.642981768,4.554391861
305,3.796746016,3.629645824,4.580285072
306,3.777166128,3.630314589,4.755968094
307,3.744944096,3.639414549,4.775797844
308,3.662467003,3.622751236,4.677240372
309,3.351469517,3.647299767,4.642360687
310,3.334906816,3.645339489,4.450716496
311,3.282344341,3.610247374,4.401605129
312,3.263573885,3.649215698,4.451281071
313,3.202095032,3.631780386,4.399224758
314,3.151491642,3.59444809,4.357407093
315,3.122519493,3.597588778,4.226566792
316,3.098559618,3.633142471,4.190023899
317,3.04412055,3.647605419,4.198203087
318,3.02512598,3.562527895,4.332643509
319,2.993317604,3.616334438,4.098831177
320,2.970690489,3.568386316,4.095192909
321,2.931271315,3.585676432,4.240414619
322,2.908957243,3.560923576,4.160478592
323,2.892971277,3.554222345,4.147362232
324,2.858121157,3.582381725,4.244778156
325,2.825451612,3.54708004,4.101460457
326,2.812000513,3.546794176,4.173737526
327,2.783055305,3.542028666,4.162382126
328,2.777819157,3.548418045,4.12717247
329,2.756769896,3.568062305,4.228237629
330,2.752017021,3.576799631,4.276011467
331,2.725265026,3.560059071,4.152095795
332,2.704515457,3.549900532,4.099903584
333,2.7129457,3.558564663,4.119346142
334,2.704574347,3.571001291,4.110515594
335,2.691873312,3.520099401,4.105844975
336,2.670972109,3.566975594,4.041286945
337,2.665505886,3.627999783,4.085338593
338,2.658156157,3.547644854,4.157513142
339,2.639991283,3.532930613,4.060470581
340,2.647625685,3.5143888,4.021912575
341,2.626518726,3.481334448,4.033285618
342,2.633608818,3.523802757,4.085383415
343,2.611162424,3.559985161,4.125267029
344,2.597746849,3.538783312,4.053458691
345,2.546406746,3.491234303,4.000126362
346,2.467370987,3.498303652,3.948752165
347,2.300994635,3.479733706,3.948067904
348,2.126061916,3.487334251,3.977806091
349,1.52257967,3.412604094,3.725990295
350,1.391051054,3.378364563,3.690386534
351,1.275710702,3.490818024,3.769842148
352,1.167308807,3.496536255,3.840427637
353,1.062703371,3.489356041,3.722260475
354,0.976199925,3.451142788,3.685926676
355,0.90709573,3.464144707,3.674016714
356,0.855548561,3.53836894,3.689740658
357,0.810370028,3.444041491,3.559709072
358,0.774698675,3.520602703,3.514772415
359,0.741730511,3.453975439,3.447137356
360,0.713746131,3.480951309,3.354469061
361,0.691619575,3.504525423,3.302800655
362,0.669830799,3.451694489,3.158534527
363,0.653980076,3.460926056,3.07396245
364,0.638410449,3.478101969,2.976859093
365,0.624463618,3.441085339,2.87244153
366,0.610971928,3.444886208,2.771657467
367,0.596475303,3.395539284,2.664090157
368,0.590283871,3.398893118,2.585653782
369,0.578982532,3.4554317,2.46914649
370,0.567460358,3.422454834,2.361021996
371,0.554532528,3.352453232,2.268267155
372,0.54278338,3.274779081,2.167466402
373,0.536065996,3.207509756,2.07537508
374,0.529405296,3.13732934,1.979522943
375,0.519769788,3.046346664,1.891057491
376,0.509181738,2.951336861,1.804611325
377,0.499833733,2.861275434,1.72213614
378,0.493075311,2.786390305,1.647245646
379,0.485037565,2.683055162,1.566556454
380,0.478062272,2.590546846,1.492322564
381,0.470381856,2.49599719,1.422279716
382,0.464741707,2.410532951,1.354472995
383,0.459252626,2.32362628,1.291211724
384,0.453922659,2.242027283,1.228984714
385,0.448259383,2.162222385,1.171292424
386,0.443640441,2.086190701,1.113079548
387,0.437718034,2.013206005,1.059827089
388,0.429504871,1.943953633,1.008592606
389,0.425302893,1.877640605,0.960689724
390,0.421925575,1.813476443,0.914043129
391,0.420389801,1.751747131,0.870301008
392,0.419228226,1.695649266,0.829088092
393,0.414901614,1.641622186,0.790318131
394,0.409412295,1.589564443,0.753415585
395,0.405949056,1.544793487,0.721503079
396,0.401281506,1.49811244,0.68797034
397,0.396864444,1.456966043,0.658541977
398,0.391800225,1.417623878,0.630932212
399,0.388119906,1.382159233,0.604485154
400,0.385992825,1.348472595,0.580364227
401,0.382937074,1.317650795,0.558153331
402,0.379875362,1.289809108,0.537578106
403,0.375853896,1.262532473,0.518862784
404,0.375194758,1.238597274,0.500707805
405,0.373316079,1.216736197,0.484366298
