La HYDROXY COMPLEX,,,,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3,HL1,HL2,HL3
408,0.458228976,1.238333225,0.90257746,0.036762252,0.316048145,0.195624426,0.613121271,0.697134614,2.30100894,0.340328097,0.434198409,0.085683815
407,0.46142906,1.244942784,0.931811869,0.037254255,0.320285112,0.196782008,0.631024003,0.716121137,2.337898016,0.347627878,0.436675966,0.085574061
406,0.465075851,1.25297749,0.96168232,0.037914179,0.325404614,0.196765065,0.64869225,0.734673977,2.375155687,0.354269862,0.438666105,0.085873455
405,0.469633132,1.260341167,0.991298676,0.039489027,0.330303937,0.197478563,0.666694403,0.755098403,2.410047293,0.360815108,0.44149369,0.086245157
404,0.473534674,1.267311096,1.023029089,0.039119046,0.336006194,0.197601691,0.686595619,0.774389267,2.449155569,0.367408484,0.44383505,0.086073689
403,0.478517026,1.275637507,1.053392291,0.039709959,0.34238252,0.198188424,0.706225097,0.795446098,2.482689619,0.374471813,0.447054535,0.086417228
402,0.482732266,1.283170938,1.085057378,0.040636562,0.347657532,0.198393777,0.725388587,0.817416132,2.52286005,0.382263601,0.450457186,0.08677125
401,0.488262117,1.290457964,1.116530299,0.040949918,0.354607642,0.198919788,0.744950593,0.838022888,2.566576481,0.388921619,0.453113079,0.086889081
400,0.492746472,1.29852283,1.148480296,0.041153863,0.361585289,0.199671,0.765716016,0.859506965,2.603699684,0.395436674,0.45567286,0.087267987
399,0.497482538,1.306504726,1.179607272,0.042254854,0.368272334,0.200649887,0.78481555,0.881381869,2.637712479,0.40290764,0.45960936,0.087219566
398,0.502744079,1.314466715,1.211850762,0.043382786,0.37492159,0.200000227,0.805880904,0.903652847,2.679907084,0.409351289,0.46278739,0.087727077
397,0.50770402,1.321842313,1.243490934,0.044877697,0.38245979,0.200559214,0.826342702,0.926091373,2.719058275,0.415904462,0.46555534,0.088453196
396,0.513911843,1.330044985,1.273236394,0.043828227,0.388728321,0.20176591,0.845815599,0.946865141,2.752243757,0.422515541,0.469236732,0.088378854
395,0.519223332,1.337896347,1.304012775,0.045456093,0.39659971,0.202107623,0.867128849,0.97047776,2.799699545,0.428603381,0.472466558,0.088830292
394,0.524326682,1.345112443,1.335028291,0.046544459,0.403439552,0.202342838,0.886098802,0.990769148,2.834922075,0.435613066,0.476459473,0.089159146
393,0.529686749,1.353360891,1.365431786,0.048134603,0.410912573,0.203229919,0.905446589,1.012892365,2.864910126,0.442712873,0.480466813,0.089740656
392,0.535502672,1.361587286,1.395699382,0.048807081,0.418836832,0.202493042,0.92489183,1.03491199,2.900323868,0.448877394,0.484917224,0.089582823
391,0.540545583,1.36812067,1.42314589,0.048596703,0.427335024,0.204258218,0.944290102,1.05719769,2.916595697,0.454600543,0.489008039,0.090434194
390,0.546465397,1.376650572,1.453583837,0.049416322,0.435679674,0.20383513,0.964197755,1.077579498,2.956750631,0.461012632,0.493040502,0.090576112
389,0.552971304,1.382702112,1.483850479,0.050487597,0.443098664,0.205471054,0.982963085,1.099063873,2.972294807,0.46612072,0.497357518,0.090671755
388,0.560216904,1.39064467,1.515858054,0.0518957,0.451121688,0.205170944,1.002425909,1.121358275,2.996619701,0.470945895,0.501680136,0.091367677
387,0.56686461,1.396302104,1.542238355,0.052849256,0.460980177,0.207147658,1.022096515,1.142394423,3.030088425,0.474826455,0.505712748,0.09149766
386,0.574183106,1.40500021,1.573533058,0.053998571,0.467824251,0.206579432,1.039741755,1.165649891,3.036397457,0.478486359,0.509947479,0.09170527
385,0.582588673,1.410166144,1.600597978,0.055011082,0.477236003,0.207861319,1.057266474,1.185401082,3.045089006,0.482335776,0.513696909,0.0922103
384,0.588984191,1.417596698,1.630900621,0.057056267,0.485535979,0.207065716,1.076292992,1.208217978,3.052621126,0.486434728,0.518048108,0.092564531
383,0.596691132,1.424660683,1.65776825,0.058761396,0.494563967,0.208826065,1.096656203,1.230623603,3.072985411,0.48981905,0.522337139,0.092623644
382,0.604390383,1.4301126,1.684517384,0.059715107,0.504245877,0.208904877,1.114118695,1.251610518,3.074715853,0.493053854,0.526755214,0.093150087
381,0.612475038,1.437055826,1.713358045,0.061604995,0.514426172,0.209198982,1.132514477,1.272648931,3.083337784,0.496803343,0.530663371,0.093275659
380,0.621385038,1.441703439,1.737876058,0.062111612,0.522888839,0.209426805,1.149307728,1.297276258,3.093296051,0.498890281,0.535477221,0.09366098
379,0.63027513,1.449462891,1.762023211,0.064210132,0.533109009,0.211042255,1.166469812,1.320534587,3.115535259,0.500409782,0.539338708,0.09441492
378,0.638246834,1.45275116,1.78501606,0.065615572,0.541671336,0.211156741,1.182695031,1.34298408,3.096662045,0.502051652,0.542966783,0.094145015
377,0.648319721,1.458645225,1.804646134,0.066948354,0.550619006,0.211847767,1.197663188,1.365998387,3.112345934,0.503531694,0.546510518,0.094534874
376,0.657681525,1.463384628,1.830741763,0.067836337,0.560645998,0.211968273,1.213352084,1.389547825,3.112038851,0.504179418,0.550028265,0.095037416
375,0.667013407,1.468981743,1.850505352,0.07027185,0.568828285,0.213078201,1.230495214,1.411441565,3.114484787,0.505029321,0.553731501,0.095383257
374,0.676879287,1.472479224,1.87003088,0.070845425,0.578846395,0.212613151,1.246285081,1.437324166,3.120044947,0.506152332,0.557278872,0.095602632
373,0.687494934,1.476446033,1.88137877,0.072801717,0.585728884,0.214530304,1.260354757,1.460405707,3.103655815,0.505808473,0.560823202,0.095950536
372,0.696027517,1.479061723,1.902417779,0.075525947,0.593874633,0.212103084,1.275264621,1.483102798,3.103426456,0.505969584,0.563804925,0.096548624
371,0.707050979,1.481876731,1.924765587,0.077118196,0.604539692,0.21349521,1.290630817,1.511330485,3.101676464,0.505799294,0.567026496,0.096552767
