La HYDROXY COMPLEX,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3
438,0.390400082,1.082863212,0.375435054,0.028566213,0.228761509,0.185511902,0.284419209,0.337136895,1.399350524
437,0.391372502,1.087643504,0.383851022,0.029094074,0.230886146,0.18571572,0.29059884,0.343993783,1.422742486
436,0.393147528,1.091925621,0.394909829,0.028748825,0.232756808,0.18587105,0.296417773,0.350156784,1.445735812
435,0.394644886,1.095248103,0.404751867,0.029142572,0.234272525,0.187325507,0.303480178,0.358078063,1.469613433
434,0.396223784,1.100813031,0.416044802,0.02906418,0.235731185,0.187022552,0.310048312,0.365101755,1.494101524
433,0.398486555,1.105441093,0.426917255,0.029223716,0.238324329,0.187329859,0.316938967,0.373259038,1.520445228
432,0.399630249,1.110030413,0.438167095,0.029320579,0.239022642,0.187517896,0.324003637,0.381180912,1.547860742
431,0.402163327,1.113804698,0.4510943,0.029823625,0.242336437,0.187312886,0.331769228,0.389203787,1.574142337
430,0.403452486,1.117585897,0.462707996,0.029870374,0.243614137,0.188118339,0.339316905,0.398494542,1.601507664
429,0.405917943,1.122498155,0.47641477,0.030051177,0.246206552,0.18863377,0.347870022,0.40751037,1.63124752
428,0.407908976,1.127955794,0.490047813,0.03023028,0.2484155,0.188447371,0.356142849,0.416858584,1.659125566
427,0.410130024,1.132367253,0.503216207,0.030502085,0.250724047,0.189296797,0.365540952,0.427254021,1.689558148
426,0.412119865,1.135836124,0.517609358,0.030206554,0.253087938,0.189199984,0.374219418,0.437318385,1.718542337
425,0.415076584,1.141755819,0.533600211,0.031535838,0.255587846,0.189807892,0.384634286,0.448239982,1.746701479
424,0.416137129,1.14640975,0.549881458,0.030977063,0.258741438,0.190541163,0.394067437,0.458959401,1.7757231
423,0.418459237,1.151857495,0.565945029,0.031232897,0.260791361,0.191027328,0.404297888,0.470539987,1.806552529
422,0.420565665,1.156733155,0.583004534,0.031371694,0.263755977,0.190586001,0.415877551,0.482488662,1.836809397
421,0.422838599,1.161424279,0.60054338,0.031890634,0.266594738,0.191623673,0.426462501,0.494855911,1.868805885
420,0.424424261,1.166828752,0.619789124,0.032111414,0.269401372,0.191816926,0.438245535,0.507047236,1.900822282
419,0.426792443,1.173585296,0.637724102,0.032359019,0.272594422,0.19195959,0.450267822,0.521280944,1.934278488
418,0.429557055,1.176644564,0.658992231,0.033439334,0.275661647,0.192699239,0.463140607,0.534103036,1.965570331
417,0.431525052,1.18204236,0.678358913,0.033289757,0.279271841,0.193252131,0.476549566,0.548722267,2.000261784
416,0.434052765,1.188359261,0.699375868,0.033201311,0.281688124,0.194311336,0.489982784,0.562750816,2.030814648
415,0.437047035,1.194226742,0.72257942,0.033223834,0.285301983,0.194019243,0.502075672,0.579341471,2.062400103
414,0.440338254,1.200834394,0.745247543,0.034124732,0.288659245,0.194580421,0.516628087,0.593583882,2.097401381
413,0.442118764,1.206039906,0.769684434,0.03434379,0.292258859,0.194787502,0.532070696,0.609813213,2.127072096
412,0.444717377,1.21209991,0.793691933,0.034664273,0.296381205,0.195037365,0.546556771,0.62625289,2.16478467
411,0.448135436,1.21934545,0.819886267,0.035532851,0.301158518,0.195181385,0.563281417,0.642980516,2.195630789
410,0.451195985,1.224347591,0.846920669,0.035584744,0.305859715,0.195314243,0.578934252,0.660552204,2.228909969
409,0.455120862,1.232620597,0.874362826,0.036672138,0.310573012,0.195692137,0.59535867,0.679269314,2.264830351
408,0.458228976,1.238333225,0.90257746,0.036762252,0.316048145,0.195624426,0.613121271,0.697134614,2.30100894
407,0.46142906,1.244942784,0.931811869,0.037254255,0.320285112,0.196782008,0.631024003,0.716121137,2.337898016
406,0.465075851,1.25297749,0.96168232,0.037914179,0.325404614,0.196765065,0.64869225,0.734673977,2.375155687
405,0.469633132,1.260341167,0.991298676,0.039489027,0.330303937,0.197478563,0.666694403,0.755098403,2.410047293
404,0.473534674,1.267311096,1.023029089,0.039119046,0.336006194,0.197601691,0.686595619,0.774389267,2.449155569
403,0.478517026,1.275637507,1.053392291,0.039709959,0.34238252,0.198188424,0.706225097,0.795446098,2.482689619
402,0.482732266,1.283170938,1.085057378,0.040636562,0.347657532,0.198393777,0.725388587,0.817416132,2.52286005
401,0.488262117,1.290457964,1.116530299,0.040949918,0.354607642,0.198919788,0.744950593,0.838022888,2.566576481
400,0.492746472,1.29852283,1.148480296,0.041153863,0.361585289,0.199671,0.765716016,0.859506965,2.603699684
399,0.497482538,1.306504726,1.179607272,0.042254854,0.368272334,0.200649887,0.78481555,0.881381869,2.637712479
398,0.502744079,1.314466715,1.211850762,0.043382786,0.37492159,0.200000227,0.805880904,0.903652847,2.679907084
397,0.50770402,1.321842313,1.243490934,0.044877697,0.38245979,0.200559214,0.826342702,0.926091373,2.719058275
396,0.513911843,1.330044985,1.273236394,0.043828227,0.388728321,0.20176591,0.845815599,0.946865141,2.752243757
395,0.519223332,1.337896347,1.304012775,0.045456093,0.39659971,0.202107623,0.867128849,0.97047776,2.799699545
394,0.524326682,1.345112443,1.335028291,0.046544459,0.403439552,0.202342838,0.886098802,0.990769148,2.834922075
393,0.529686749,1.353360891,1.365431786,0.048134603,0.410912573,0.203229919,0.905446589,1.012892365,2.864910126
392,0.535502672,1.361587286,1.395699382,0.048807081,0.418836832,0.202493042,0.92489183,1.03491199,2.900323868
391,0.540545583,1.36812067,1.42314589,0.048596703,0.427335024,0.204258218,0.944290102,1.05719769,2.916595697
390,0.546465397,1.376650572,1.453583837,0.049416322,0.435679674,0.20383513,0.964197755,1.077579498,2.956750631
389,0.552971304,1.382702112,1.483850479,0.050487597,0.443098664,0.205471054,0.982963085,1.099063873,2.972294807
388,0.560216904,1.39064467,1.515858054,0.0518957,0.451121688,0.205170944,1.002425909,1.121358275,2.996619701
387,0.56686461,1.396302104,1.542238355,0.052849256,0.460980177,0.207147658,1.022096515,1.142394423,3.030088425
386,0.574183106,1.40500021,1.573533058,0.053998571,0.467824251,0.206579432,1.039741755,1.165649891,3.036397457
385,0.582588673,1.410166144,1.600597978,0.055011082,0.477236003,0.207861319,1.057266474,1.185401082,3.045089006
384,0.588984191,1.417596698,1.630900621,0.057056267,0.485535979,0.207065716,1.076292992,1.208217978,3.052621126
383,0.596691132,1.424660683,1.65776825,0.058761396,0.494563967,0.208826065,1.096656203,1.230623603,3.072985411
382,0.604390383,1.4301126,1.684517384,0.059715107,0.504245877,0.208904877,1.114118695,1.251610518,3.074715853
381,0.612475038,1.437055826,1.713358045,0.061604995,0.514426172,0.209198982,1.132514477,1.272648931,3.083337784
380,0.621385038,1.441703439,1.737876058,0.062111612,0.522888839,0.209426805,1.149307728,1.297276258,3.093296051
379,0.63027513,1.449462891,1.762023211,0.064210132,0.533109009,0.211042255,1.166469812,1.320534587,3.115535259
378,0.638246834,1.45275116,1.78501606,0.065615572,0.541671336,0.211156741,1.182695031,1.34298408,3.096662045
377,0.648319721,1.458645225,1.804646134,0.066948354,0.550619006,0.211847767,1.197663188,1.365998387,3.112345934
376,0.657681525,1.463384628,1.830741763,0.067836337,0.560645998,0.211968273,1.213352084,1.389547825,3.112038851
375,0.667013407,1.468981743,1.850505352,0.07027185,0.568828285,0.213078201,1.230495214,1.411441565,3.114484787
374,0.676879287,1.472479224,1.87003088,0.070845425,0.578846395,0.212613151,1.246285081,1.437324166,3.120044947
373,0.687494934,1.476446033,1.88137877,0.072801717,0.585728884,0.214530304,1.260354757,1.460405707,3.103655815
372,0.696027517,1.479061723,1.902417779,0.075525947,0.593874633,0.212103084,1.275264621,1.483102798,3.103426456
371,0.707050979,1.481876731,1.924765587,0.077118196,0.604539692,0.21349521,1.290630817,1.511330485,3.101676464
370,0.71598357,1.485497832,1.941588759,0.079231672,0.613136649,0.213564202,1.30580616,1.539677262,3.109000921
369,0.728527844,1.486272216,1.965703368,0.081598848,0.622214496,0.216135353,1.321244359,1.564791918,3.106882334
368,0.746285141,1.509607315,1.97565937,0.090764202,0.64044404,0.220930487,1.349493146,1.611137509,2.989216805
367,0.752236426,1.498818159,1.985596418,0.086525045,0.642630279,0.215404838,1.35064435,1.625664115,2.999123573
366,0.764305532,1.504473805,2.001366615,0.088565551,0.652406216,0.215734571,1.366223335,1.659895301,3.006438732
365,0.776513517,1.504287124,2.021864891,0.091115654,0.663023531,0.217240587,1.385513186,1.698659301,3.008793354
364,0.790418863,1.50417161,2.028368711,0.096209772,0.668422282,0.218070373,1.401527166,1.726232767,2.971191883
363,0.806274891,1.506949902,2.050666094,0.099416286,0.681630731,0.21817787,1.416514397,1.769168496,3.001992226
362,0.817305803,1.503190279,2.050228834,0.101281554,0.686939418,0.219185054,1.429962873,1.802081704,2.989789963
361,0.83372426,1.498404622,2.06337738,0.107172169,0.696167529,0.219733149,1.45059967,1.850687146,2.960239887
360,0.849555314,1.495236993,2.079660892,0.109122165,0.700957894,0.21861577,1.462026834,1.891612768,2.967357397
359,0.866722167,1.496912956,2.074125767,0.112688333,0.709385753,0.221185088,1.484887242,1.92180109,2.987697124
358,0.879995704,1.483267784,2.106124878,0.116920807,0.718720198,0.221011058,1.494653583,1.974452138,2.95707345
357,0.894626081,1.483496308,2.089565039,0.121497251,0.730018139,0.222705931,1.51940155,2.026255608,3.020604134
356,0.913384259,1.482296109,2.120033264,0.12217585,0.731301248,0.22338748,1.530730009,2.058641672,2.9620924
355,0.928235292,1.492048264,2.117632151,0.132050932,0.738137424,0.225248709,1.557831764,2.118557453,2.980763435
354,0.949197292,1.504763842,2.143738985,0.132190943,0.747431696,0.225302368,1.571061492,2.160557508,3.000593901
353,0.975526631,1.497500181,2.162838697,0.140001312,0.754440129,0.225745171,1.592117786,2.206562519,2.944398642
352,0.983967722,1.506580114,2.163670301,0.142350465,0.762115181,0.225445345,1.620065928,2.26629138,2.935786009
351,1.003677249,1.505108118,2.143345356,0.150838301,0.778963208,0.23722671,1.62913084,2.30064249,2.932726622
350,1.0219841,1.505705118,2.18874526,0.156191036,0.780080199,0.229774281,1.643265247,2.348350048,3.051730156
349,1.034006,1.500390887,2.190236092,0.162543818,0.777317345,0.232478142,1.671579242,2.395545483,2.927194118
348,1.127078891,1.912529707,2.309411764,0.204645768,0.827354133,0.25459668,1.76598227,2.621563911,3.359868288
347,1.141496778,1.910396099,2.311362982,0.212983504,0.835622728,0.255535603,1.782491565,2.645719051,3.356292725
346,1.16767168,1.914391756,2.333466291,0.218801886,0.84308368,0.258182406,1.809768558,2.711474419,3.332921743
345,1.196779728,1.912866592,2.353004456,0.230621398,0.852727473,0.260426164,1.836570024,2.799032927,3.318300724
344,1.228959918,1.918881655,2.363328218,0.238842204,0.860680938,0.265509218,1.860991955,2.846070528,3.336843491
343,1.251662254,1.922653794,2.374620438,0.248335019,0.87120527,0.265480012,1.887657046,2.906637669,3.341512442
342,1.284171939,1.920357823,2.406045198,0.259995341,0.880036473,0.270473898,1.911154747,2.986460209,3.329969883
341,1.312233448,1.924648046,2.431161642,0.27240476,0.889174283,0.272207916,1.94559741,3.066396952,3.335737944
340,1.342793584,1.930949807,2.451470613,0.283477962,0.900412142,0.276608884,1.977864385,3.103667259,3.345208168
339,1.373273969,1.938653946,2.463208675,0.295819879,0.909287691,0.27943936,2.012248039,3.213179111,3.329982996
338,1.415838242,1.940676451,2.497868538,0.308851928,0.920183003,0.283656895,2.040425062,3.282053709,3.371211529
337,1.449675202,1.939258933,2.519901752,0.321738154,0.932518423,0.28858608,2.093348026,3.381140471,3.341286898
336,1.494620085,1.940449119,2.556806326,0.339428753,0.9415434,0.29336068,2.147625923,3.516384125,3.367618322
335,1.532475591,1.946485519,2.583286762,0.356227607,0.955775201,0.298609167,2.201097727,3.732990503,3.377321482
334,1.576184869,1.948611498,2.604302168,0.375714421,0.970809937,0.301470071,2.259498119,3.786484241,3.357810974
333,1.624686003,1.963698745,2.665610552,0.393411785,0.980214834,0.307709783,2.328071356,4.015423775,3.36774087
332,1.680686593,1.969172478,2.67689395,0.410752088,0.9975124,0.312791139,2.4043262,4.363996506,3.38335681
331,1.747525573,1.977913618,2.714998245,0.433288932,1.008041859,0.317676812,2.47215724,4.479765415,3.383699894
330,1.797831893,1.977486014,2.750609875,0.45683074,1.026821613,0.324517548,2.598641396,5.274590969,3.383374691
329,1.870220542,1.986801624,2.813094139,0.483651549,1.041774392,0.331753045,2.680603266,5.746097088,3.423969984
328,1.938467383,1.989247203,2.862720728,0.51180774,1.065745234,0.339996576,2.82136941,10,3.410911322
327,2.011945009,2.003921747,2.900912523,0.542776406,1.083558083,0.348166883,2.964972496,10,3.43810153
326,2.086232662,2.009252548,2.966398478,0.578519404,1.113146424,0.356027752,3.110644102,10,3.431821823
325,2.156601429,2.021711588,3.035016537,0.614929259,1.138564348,0.365850896,3.242422581,10,3.502851725
324,2.217441559,2.022371292,3.0905478,0.654705763,1.173156738,0.377644599,3.369536161,10,3.469497681
323,2.27977252,2.039949417,3.180517197,0.699021876,1.201736689,0.389183074,3.503320217,10,3.51256752
322,2.323805094,2.053249836,3.240513563,0.744536638,1.244668961,0.401066333,3.61670804,10,3.483590603
321,2.382808447,2.070850611,3.309495687,0.795798123,1.284685016,0.413725168,3.74840188,10,3.491364241
320,2.414215088,2.068890572,3.368153095,0.84944886,1.335981727,0.427419961,3.820396423,10,3.545321226
319,2.461047173,2.097158909,3.372410297,0.907907426,1.390260577,0.443269581,3.827024221,10,3.575066328
318,2.483952045,2.109347343,3.467640162,0.971771479,1.447397232,0.460520804,3.968939304,10,3.573244095
317,2.493463039,2.134016514,3.558914661,1.036990047,1.516286969,0.476275802,3.927336216,10,3.583440065
316,2.530344963,2.154503584,3.605031252,1.110564947,1.586923122,0.496934801,4.094332218,10,3.615818262
315,2.5412848,2.176319361,3.713392735,1.183981061,1.660565615,0.517034113,3.960247755,10,3.588273764
314,2.563328028,2.193696976,3.708563566,1.268260598,1.751593232,0.540106297,4.05163002,10,3.660670042
313,2.606541395,2.215192318,3.704976797,1.352193952,1.833530068,0.56426698,4.094079494,10,3.717697859
312,2.643872261,2.246144533,3.769578934,1.442742705,1.936784863,0.590874314,4.186952114,10,3.752118111
311,2.642642498,2.267254591,3.809142828,1.545450568,2.035555601,0.622429788,4.222736835,10,3.734370708
310,2.687957048,2.311129093,3.941863298,1.649270177,2.155353785,0.653144658,4.221395969,10,3.78467536
309,2.698837757,2.329858303,3.918771267,1.764835358,2.276132822,0.686973274,4.436469555,10,3.811697483
308,3.054471731,2.709561825,4.093644619,1.91479969,2.447604179,0.730692804,4.453218937,10,4.192155361
307,3.102101803,2.741890669,4.078219414,2.016936064,2.565913439,0.763045609,4.312066555,10,4.209795952
306,3.13396883,2.799968004,4.284938812,2.160069704,2.723431349,0.806956768,4.530881882,10,4.347184658
305,3.182806015,2.846693277,4.316077709,2.305153847,2.880019188,0.853648961,4.576203823,10,4.483978271
304,3.22079587,2.882802486,4.655103207,2.469172955,3.052480459,0.90569979,5.573575974,10,4.874433994
303,3.302301884,2.956626654,4.606720448,2.63992095,3.230856657,0.961457968,6.160317421,10,5.220221996
302,3.357538939,3.022225618,5.27680254,2.818833351,3.435626268,1.022892237,5.999914646,10,5.196066856
301,3.425766706,3.083765745,10,3.016844988,3.640970469,1.08752954,10,10,10
300,3.508699417,3.170977116,10,3.216224194,3.860049248,1.159443855,10,10,10
299,3.584863663,3.244769096,10,3.42833662,4.086389065,1.233209491,10,10,10
298,3.641624451,3.323029995,10,3.698447943,4.407285213,1.315526247,10,10,10
297,3.736018181,3.403882504,10,3.981413364,5.103172779,1.407572508,10,10,10
296,3.854168892,3.518056154,10,4.389158726,5.320329666,1.50601542,10,10,10
295,3.930727005,3.641200781,10,5.011045933,10,1.609253526,10,10,10
294,4.051961899,3.798113823,10,10,10,1.720148802,10,10,10
293,4.195128918,3.913735867,10,10,10,1.843368173,10,10,10
292,4.305190086,4.125684738,10,10,10,1.97657001,10,10,10
291,4.389558315,4.416463375,10,10,10,2.118495703,10,10,10
290,4.68688345,4.713804245,10,10,10,2.270354033,10,10,10
289,4.784306049,10,10,10,10,2.437196016,10,10,10
288,5.092424393,10,10,10,10,2.618268967,10,10,10
287,5.133730888,10,10,10,10,2.812312603,10,10,10
286,10,10,10,10,10,3.021801949,10,10,10
285,5.2329216,10,10,10,10,3.231853962,10,10,10
284,10,10,10,10,10,3.508438587,10,10,10
283,10,10,10,10,10,3.792961121,10,10,10
282,10,10,10,10,10,4.166757107,10,10,10
281,10,10,10,10,10,4.619206429,10,10,10
280,10,10,10,10,10,10,10,10,10
279,10,10,10,10,10,10,10,10,10
278,10,10,10,10,10,10,10,10,10
277,10,10,10,10,10,10,10,10,10
276,10,10,10,10,10,10,10,10,10
275,10,10,10,10,10,10,10,10,10
274,10,10,10,10,10,10,10,10,10
273,5.579229355,10,10,10,10,10,10,10,10
272,10,10,10,10,10,10,10,10,10
271,5.647352219,10,10,10,10,10,10,10,10
270,10,10,10,10,10,10,10,10,10
269,10,10,10,10,10,10,10,10,10
268,10,10,10,10,10,10,10,10,10
267,6.849975586,10,10,10,10,10,10,10,10
266,10,10,10,10,10,10,10,10,10
265,5.749106884,10,10,10,10,10,10,10,10
264,5.671242237,10,10,10,10,10,10,10,10
263,10,10,10,10,10,10,10,10,10
262,10,10,10,10,10,10,10,10,10
261,10,10,10,10,10,10,10,10,10
260,10,10,10,10,10,10,10,10,10
259,10,10,10,10,10,10,10,10,10
258,10,10,10,10,10,10,10,10,10
257,10,10,10,10,10,10,10,10,10
256,5.685747147,10,10,10,10,10,10,10,10
255,5.389613628,10,10,10,10,10,10,10,10
254,10,10,10,10,10,10,10,10,10
253,5.574776173,10,10,10,10,10,10,10,10
252,5.607156277,10,10,10,10,10,10,10,10
251,5.243343353,10,10,10,10,10,10,10,10
250,5.710780144,10,10,10,10,10,10,10,10
249,5.068640232,10,10,10,10,10,10,10,10
248,5.41430378,10,10,10,10,10,10,10,10
247,4.861780167,10,10,10,10,10,10,10,10
246,4.945654392,10,10,10,10,10,10,10,10
245,4.953155041,10,10,10,10,10,10,10,10
244,4.952852249,10,10,10,10,6.101603985,10,10,10
243,5.065928936,10,10,6.496436119,10,5.053772449,10,10,10
242,4.87825346,10,10,10,10,10,10,10,10
241,4.828876019,10,10,10,10,5.276162624,10,10,10
240,4.813381195,10,10,5.06243515,10,5.646483421,10,10,10
239,4.626852512,10,10,4.974083424,10,5.069363594,10,10,10
238,4.632947922,10,10,4.765209198,5.691396713,4.851421356,10,10,10
237,4.636318684,10,10,5.047613144,10,4.836163998,10,10,10
236,4.594151974,10,10,4.78802824,10,4.751447201,10,10,10
235,4.624573708,10,10,4.718695641,6.015329361,4.831368446,10,10,10
234,4.684007645,10,10,4.799841881,6.088733673,4.744771957,10,10,10
233,4.657809734,10,10,4.790138721,5.238094807,4.72642374,10,10,10
232,4.603811741,10,10,4.7878685,5.872604847,4.742602348,10,10,10
231,4.507552624,10,10,4.915393353,5.623036861,4.955474854,10,10,10
230,4.454528332,10,10,4.77271986,6.283619881,4.977082729,10,10,10
229,4.524107456,10,10,4.829301834,10,4.755074978,10,10,10
228,4.71521616,10,10,4.829825401,10,4.916810989,10,10,10
227,4.494218349,10,10,5.03507185,10,4.802352428,10,10,10
226,4.551849842,10,10,4.858026028,5.514324188,5.094780922,10,10,10
225,4.579557896,10,10,5.227001667,10,4.895811558,10,10,10
224,4.640845776,10,10,5.37234354,10,5.186061382,10,10,10
223,4.628129959,10,10,5.878566742,10,5.16934824,10,10,10
222,4.670124054,10,10,5.014050961,10,10,10,10,10
221,4.512586117,10,10,10,10,10,10,10,10
220,4.716875076,10,10,10,10,10,10,10,10
219,4.611483097,10,10,10,10,10,10,10,10
218,4.567401886,10,10,10,10,10,10,10,10
217,4.649810791,10,10,10,10,10,10,10,10
216,4.897334576,10,10,10,10,10,10,10,10
215,4.559545517,10,10,4.819427967,10,10,10,10,10
214,4.525430202,10,10,4.924084187,10,5.857450485,10,10,10
213,4.494243145,10,10,5.200785637,6.059975147,10,10,10,10
212,4.29949522,10,10,5.221198559,10,10,10,10,10
211,4.578629494,10,10,5.205732346,10,10,10,10,10
210,4.585111141,10,10,10,10,10,10,10,10
209,4.585364819,10,10,5.129680157,10,10,10,10,10
208,4.43744278,10,10,10,10,10,10,10,10
207,4.588572979,10,10,10,10,10,10,10,10
206,4.622306347,10,10,10,10,10,10,10,10
205,4.735982418,10,10,10,10,10,10,10,10
204,4.374599457,10,10,5.289556503,10,10,10,10,10
